"Player"	"Gender"	"Country"	"Birth"	"Y_tour"	"Age"	"Per"	"Points"	"Games"	"Rating"	"Exp_Per"	"Status"	"Games_Tour"	"Stale"
"1"	"14837002"	"M"	"D"	1920	1995	75	1465	6.5	18	1365	3.332	"Active"	372	1
"2"	"14837002"	"M"	"D"	1920	1994	74	1263	3.5	19	1288	NA	"Active"	380	1
"3"	"14837002"	"M"	"D"	1920	1993	73	1227	1	4	1314	NA	"Active"	28	0
"4"	"14837002"	"M"	"D"	1920	1993	73	1333	4	13	1333	NA	"Active"	163	0
"5"	"15143003"	"M"	"D"	1921	1996	75	1372	1.5	7	1415	1.955	"Active"	7028	1
"6"	"15143003"	"M"	"D"	1921	1997	76	0	0.5	3	1413	0.554	"Active"	6524	1
"7"	"15143003"	"M"	"D"	1921	1995	74	1476	2.5	7	1436	1.774	"Active"	896	3
"8"	"15143003"	"M"	"D"	1921	1992	71	0	-1	0	1388	NA	"Active"	0	0
"9"	"15902003"	"M"	"A"	1923	2002	79	1435	4	7	1604	5.494	"Active"	857	0
"10"	"15902003"	"M"	"A"	1923	1998	75	0	3	4	1635	3.276	"Active"	2227	1
"11"	"15902003"	"M"	"A"	1923	2001	78	1678	2.5	5	1649	2.272	"Active"	82	0
"12"	"15902003"	"M"	"A"	1923	1997	74	1835	6.5	9	1644	2.764	"Active"	694	0
"13"	"15902003"	"M"	"A"	1923	1997	74	1441	1.5	5	1519	2.04	"Active"	50	1
"14"	"15902003"	"M"	"A"	1923	2000	77	1584	2	9	1680	3.345	"Active"	710	1
"15"	"15902003"	"M"	"A"	1923	1996	73	1571	8.5	11	1548	7.83	"Active"	135	0
"16"	"15902003"	"M"	"A"	1923	2001	78	1405	3	5	1642	4.332	"Active"	499	1
"17"	"15902003"	"M"	"A"	1923	2002	79	0	0	1	1645	0.117	"Active"	698	1
"18"	"15902003"	"M"	"A"	1923	1996	73	1580	2.5	9	1514	NA	"Active"	947	0
"19"	"15902003"	"M"	"A"	1923	1999	76	1907	7	9	1713	3.976	"Active"	694	1
"20"	"16387002"	"M"	"D"	1924	1993	69	0	0	0	2096	NA	"Active"	0	0
"21"	"16387002"	"M"	"D"	1924	2001	77	2000	5	7	2003	5.029	"Active"	415	0
"22"	"16387002"	"M"	"D"	1924	1992	68	0	0	0	2102	NA	"Active"	0	0
"23"	"16387002"	"M"	"D"	1924	1995	71	1727	2.5	8	2004	6.106	"Active"	896	0
"24"	"16387002"	"M"	"D"	1924	1997	73	0	2	3	2003	2.553	"Active"	6524	0
"25"	"16387002"	"M"	"D"	1924	1994	70	1923	4	7	2066	NA	"Active"	302	1
"26"	"16387002"	"M"	"D"	1924	1997	73	2066	5.5	7	2016	5.122	"Active"	320	1
"27"	"16387002"	"M"	"D"	1924	1995	71	2089	6	7	2080	5.945	"Active"	299	1
"28"	"16387002"	"M"	"D"	1924	2001	77	2030	5	7	2004	4.767	"Active"	258	1
"29"	"16387002"	"M"	"D"	1924	1993	69	0	0	0	2126	NA	"Active"	NA	1
"30"	"16387002"	"M"	"D"	1924	1994	70	2125	8	9	2079	NA	"Active"	578	0
"31"	"16387002"	"M"	"D"	1924	2000	76	0	0	1	2015	0.405	"Active"	471	0
"32"	"16387002"	"M"	"D"	1924	1999	75	1920	5.5	9	2010	6.612	"Active"	321	1
"33"	"16387002"	"M"	"D"	1924	1998	74	2237	6.5	8	2039	4.778	"Active"	357	1
"34"	"16387002"	"M"	"D"	1924	1996	72	2025	4.5	7	2008	4.333	"Active"	7028	1
"35"	"16387002"	"M"	"D"	1924	2000	76	1973	5	7	1999	5.206	"Active"	258	0
"36"	"16387002"	"M"	"D"	1924	2000	76	2056	5.5	7	2025	5.277	"Active"	254	1
"37"	"16387002"	"M"	"D"	1924	1998	74	2008	6.5	9	2033	6.79	"Active"	6418	0
"38"	"16387002"	"M"	"D"	1924	2000	76	1958	5	8	2003	5.569	"Active"	5872	0
"39"	"16387002"	"M"	"D"	1924	1999	75	2061	4.5	7	2020	4.048	"Active"	6350	0
"40"	"17844003"	"W"	"D"	1928	1991	63	0	-1	0	1562	NA	"Active"	NA	0
"41"	"17844003"	"W"	"D"	1928	1995	67	1379	2.5	7	1458	3.456	"Active"	70	1
"42"	"17844003"	"W"	"D"	1928	1994	66	1347	2.5	8	1503	NA	"Active"	72	3
"43"	"18142004"	"M"	"D"	1929	1996	67	2254	5	5	1780	3.543	"Active"	633	1
"44"	"18142004"	"M"	"D"	1929	1995	66	1794	3.5	6	1740	2.999	"Active"	621	1
"45"	"18142004"	"M"	"D"	1929	1993	64	1787	2	3	1763	NA	"Active"	626	0
"46"	"18142004"	"M"	"D"	1929	1994	65	1644	2	8	1727	NA	"Active"	637	1
"47"	"18142004"	"M"	"D"	1929	1998	69	1496	1	7	1716	2.889	"Active"	687	1
"48"	"18142004"	"M"	"D"	1929	1993	64	1539	0.5	1	1754	NA	"Active"	323	0
"49"	"18142004"	"M"	"D"	1929	1997	68	0	2.5	4	1763	3.101	"Active"	650	1
"50"	"18142004"	"M"	"D"	1929	1993	64	0	-1	0	1760	NA	"Active"	NA	0
"51"	"18142004"	"M"	"D"	1929	1999	70	0	1.5	4	1714	1.587	"Active"	670	1
"52"	"18483004"	"M"	"D"	1930	1996	66	0	0.5	2	1353	0.78	NA	141	0
"53"	"18483004"	"M"	"D"	1930	2001	71	1335	6.5	14	1378	7.889	NA	226	2
"54"	"18483004"	"M"	"D"	1930	1993	63	1235	2	6	1391	NA	NA	563	0
"55"	"18483004"	"M"	"D"	1930	2006	76	1352	2	6	1393	2.434	NA	647	0
"56"	"18483004"	"M"	"D"	1930	2002	72	0	1	1	1386	0.417	NA	683	0
"57"	"18483004"	"M"	"D"	1930	1998	68	1541	3.5	5	1363	1.955	NA	439	0
"58"	"18483004"	"M"	"D"	1930	2003	73	0	1	2	1387	1.166	NA	667	0
"59"	"18483004"	"M"	"D"	1930	2004	74	0	0	2	1373	0.374	NA	698	1
"60"	"18483004"	"M"	"D"	1930	2001	71	0	0.5	3	1348	1.312	NA	669	0
"61"	"18483004"	"M"	"D"	1930	1999	69	1544	3.5	5	1412	2.478	NA	646	0
"62"	"18483004"	"M"	"D"	1930	1997	67	1215	3.5	6	1312	4.45	NA	292	0
"63"	"18483004"	"M"	"D"	1930	2002	72	0	0.5	1	1361	0.186	NA	152	1
"64"	"18483004"	"M"	"D"	1930	2005	75	0	2	4	1468	1.951	NA	681	0
"65"	"18483004"	"M"	"D"	1930	2006	76	1330	1.5	10	1433	2.799	NA	152	1
"66"	"18483004"	"M"	"D"	1930	2005	75	1512	4.5	12	1466	3.585	NA	156	1
"67"	"18483004"	"M"	"D"	1930	1996	66	1209	0.5	8	1364	1.398	NA	50	3
"68"	"18483004"	"M"	"D"	1930	2003	73	0	3	4	1393	2.811	NA	262	1
"69"	"18483004"	"M"	"D"	1930	2004	74	1395	4	5	1377	3.893	NA	615	0
"70"	"18483004"	"M"	"D"	1930	1998	68	0	0.5	2	1309	0.587	NA	151	1
"71"	"18483004"	"M"	"D"	1930	1999	69	1470	1.5	10	1378	0.968	NA	60	1
"72"	"18483004"	"M"	"D"	1930	1997	67	0	0	1	1344	0.224	NA	94	1
"73"	"18483004"	"M"	"D"	1930	2006	76	0	0	2	1407	0.684	NA	114	0
"74"	"18483004"	"M"	"D"	1930	2004	74	1692	3	8	1442	0.816	NA	654	0
"75"	"18721003"	"M"	"D"	1931	1995	64	1484	3	9	1501	3.171	"Active"	432	0
"76"	"18721003"	"M"	"D"	1931	1994	63	1679	2.5	6	1554	NA	"Active"	734	1
"77"	"18721003"	"M"	"D"	1931	1995	64	1452	3.5	8	1506	4.254	"Active"	696	1
"78"	"18721003"	"M"	"D"	1931	1992	61	1532	1.5	6	1544	NA	"Active"	409	0
"79"	"18721003"	"M"	"D"	1931	1998	67	1691	4.5	9	1625	3.822	"Active"	472	0
"80"	"18721003"	"M"	"D"	1931	1993	62	1585	2	5	1504	NA	"Active"	357	1
"81"	"18721003"	"M"	"D"	1931	1997	66	1635	4	9	1618	3.729	"Active"	396	0
"82"	"18721003"	"M"	"D"	1931	1997	66	1399	2.5	7	1546	4.018	"Active"	554	1
"83"	"18721003"	"M"	"D"	1931	2001	70	1563	4.5	9	1525	3.951	"Active"	348	0
"84"	"18721003"	"M"	"D"	1931	2002	71	0	0	1	1498	0.712	"Active"	533	1
"85"	"18721003"	"M"	"D"	1931	1997	66	1659	4	8	1611	3.283	"Active"	690	0
"86"	"18721003"	"M"	"D"	1931	2000	69	1738	5	9	1618	3.624	"Active"	382	1
"87"	"18721003"	"M"	"D"	1931	1997	66	1601	4	9	1591	3.849	"Active"	454	0
"88"	"18721003"	"M"	"D"	1931	1996	65	1665	5	8	1589	3.889	"Active"	696	0
"89"	"18721003"	"M"	"D"	1931	1992	61	1412	2.5	8	1484	NA	"Active"	0	0
"90"	"18721003"	"M"	"D"	1931	1996	65	1710	4.5	9	1558	2.425	"Active"	406	1
"91"	"18721003"	"M"	"D"	1931	2001	70	1431	3.5	9	1519	4.538	"Active"	390	1
"92"	"18721003"	"M"	"D"	1931	1992	61	1299	0.5	3	1513	NA	"Active"	465	0
"93"	"18721003"	"M"	"D"	1931	2000	69	1297	1.5	6	1512	3.154	"Active"	119	0
"94"	"18721003"	"M"	"D"	1931	2000	69	1368	3.5	7	1561	5.564	"Active"	639	0
"95"	"18721003"	"M"	"D"	1931	1997	66	1704	5	9	1587	3.459	"Active"	1502	0
"96"	"18721003"	"M"	"D"	1931	1999	68	1550	4	9	1581	4.511	"Active"	412	0
"97"	"18721003"	"M"	"D"	1931	1993	62	1597	1.5	3	1516	NA	"Active"	716	0
"98"	"18721003"	"M"	"D"	1931	1998	67	1582	3.5	8	1608	3.893	"Active"	688	1
"99"	"18721003"	"M"	"D"	1931	1999	68	1487	5.5	7	1595	6.187	"Active"	525	1
"100"	"18721003"	"M"	"D"	1931	1994	63	1467	3.5	9	1528	NA	"Active"	431	0
"101"	"18721003"	"M"	"D"	1931	2000	69	1626	4.5	9	1547	3.237	"Active"	360	0
"102"	"18721003"	"M"	"D"	1931	2001	70	1492	5.5	9	1510	5.838	"Active"	702	0
"103"	"18721003"	"M"	"D"	1931	1998	67	1587	4	9	1614	4.42	"Active"	428	0
"104"	"18784001"	"M"	"D"	1931	2001	70	0	0	1	1574	0.448	"Active"	3060	1
"105"	"18784001"	"M"	"D"	1931	2000	69	0	1	3	1590	1.213	"Active"	3372	1
"106"	"18784001"	"M"	"D"	1931	1995	64	1647	4.5	8	1669	4.843	"Active"	656	1
"107"	"18784001"	"M"	"D"	1931	1998	67	1677	3.5	7	1634	3.027	"Active"	206	0
"108"	"18784001"	"M"	"D"	1931	1996	65	1657	4.5	10	1665	4.651	"Active"	974	1
"109"	"18784001"	"M"	"D"	1931	1999	68	1607	4	5	1629	4.116	"Active"	773	0
"110"	"18784001"	"M"	"D"	1931	1994	63	1716	5	8	1681	NA	"Active"	647	1
